timestamp,datetime,favorites,id,is_retweet,retweets,text
1706039483684,2024-01-23 19:51:23,19610,111807003602683384,False,4660,"Get out to the polls and VOTE, New Hampshire. WE are going to MAGA!!! <a href=""https://links.truthsocial.com/link/111517032318362813"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nh.donaldjtrump.com/</span><span class=""invisible""></span></a>"
1706041205093,2024-01-23 20:20:05,18983,111807116416685733,False,4226,"<a href=""https://links.truthsocial.com/link/111806969339902402"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">thegatewaypundit.com/2024/01/t</span><span class=""invisible"">rump-gets-rock-star-welcome-polling-place-londonderry/</span></a>"
1706051352277,2024-01-23 23:09:12,24996,111807781422495790,False,5623,"SO RIDICULOUS THAT DEMOCRATS AND INDEPENDENTS ARE ALLOWED TO VOTE IN THE REPUBLICAN PRIMARY, ESPECIALLY SINCE CROOKED JOE BIDEN HAS ABANDONED NEW HAMPSHIRE—BUT WORD IS WE ARE DOING REALLY WELL!!!"
1706054320661,2024-01-23 23:58:40,9482,111807975958775257,False,1709,"I GET MUCH BETTER POLL NUMBERS AGAINST BIDEN THAN NIKKI HALEY, NOT EVEN CLOSE!!!"
1706054505123,2024-01-24 00:01:45,0,111807988047693220,True,0,"RT <span class=""h-card""><a href=""https://truthsocial.com/@realDonaldTrump"" class=""u-url mention"">@<span>realDonaldTrump</span></a></span>THANK YOU—MAGA!!!<br/><a href=""https://nh.donaldjtrump.com/"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nh.donaldjtrump.com/</span><span class=""invisible""></span></a>"
1706054507309,2024-01-24 00:01:47,0,111807988190975722,True,0,"RT <span class=""h-card""><a href=""https://truthsocial.com/@realDonaldTrump"" class=""u-url mention"">@<span>realDonaldTrump</span></a></span>Get out to the polls and VOTE, New Hampshire. WE are going to MAGA!!! <a href=""https://nh.donaldjtrump.com/"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nh.donaldjtrump.com/</span><span class=""invisible""></span></a>"
1706054510710,2024-01-24 00:01:50,0,111807988413801666,True,0,"RT <span class=""h-card""><a href=""https://truthsocial.com/@realDonaldTrump"" class=""u-url mention"">@<span>realDonaldTrump</span></a></span><a href=""https://www.thegatewaypundit.com/2024/01/trump-gets-rock-star-welcome-polling-place-londonderry/"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">thegatewaypundit.com/2024/01/t</span><span class=""invisible"">rump-gets-rock-star-welcome-polling-place-londonderry/</span></a>"
1706055244494,2024-01-24 00:14:04,0,111808036503153649,True,0,"RT <span class=""h-card""><a href=""https://truthsocial.com/@realDonaldTrump"" class=""u-url mention"">@<span>realDonaldTrump</span></a></span>SO RIDICULOUS THAT DEMOCRATS AND INDEPENDENTS ARE ALLOWED TO VOTE IN THE REPUBLICAN PRIMARY, ESPECIALLY SINCE CROOKED JOE BIDEN HAS ABANDONED NEW HAMPSHIRE—BUT WORD IS WE ARE DOING REALLY WELL!!!"
1706057587305,2024-01-24 00:53:07,21232,111808190041163473,False,4222,Wow! We are doing really well despite all of the Biden Votes going for Haley!!!
1706058942510,2024-01-24 01:15:42,30950,111808278855950910,False,6167,Haley said she had to WIN in New Hampshire. SHE DIDN’T!!!
